,city,latitude,longitude,time dt,timezone,temperature,humidity_perc,cloudiness_perc,wind_speed
0,khatanga,71.98,102.47,1561595030,25200,53,40,0,8.12
1,torbay,47.66,-52.73,1561594953,-9000,46.67,76,20,3.36
2,punta+arenas,-53.16,-70.91,1561595049,-10800,28.17,74,0,8.05
3,yellowknife,62.45,-114.38,1561595050,-21600,55.4,82,75,19.46
4,tasiilaq,65.61,-37.64,1561595051,-7200,44.6,81,100,1.12
5,grindavik,63.84,-22.43,1561595053,0,50.86,100,90,18.34
6,rikitea,-23.12,-134.97,1561594770,-32400,74.42,80,53,10.4
7,kapaa,22.08,-159.32,1561595055,-36000,80.1,74,75,11.41
8,barreirinhas,-2.75,-42.83,1561595056,-10800,73.88,90,100,3.62
9,cape+town,-33.93,18.42,1561595041,7200,51.48,93,90,6.93
10,ushuaia,-54.81,-68.31,1561594335,-10800,28.4,79,75,20.8
11,mahajanga,-15.72,46.32,1561595060,10800,71.6,83,20,4.7
12,iquitos,-3.75,-73.25,1561595061,-18000,75.2,94,0,2.13
13,nemuro,43.32,145.57,1561595063,32400,68,77,75,9.17
15,castro,-42.48,-73.76,1561595120,-14400,46.4,87,75,6.93
16,beyneu,45.32,55.19,1561595121,18000,75.14,43,0,7.23
17,bluff,-23.58,149.07,1561595122,36000,68.3,65,14,24.58
18,fairbanks,64.84,-147.72,1561595031,-28800,77.05,17,1,5.82
19,weihe,32.99,105.33,1561595125,28800,62.72,87,100,2.3
20,fare,-16.7,-151.02,1561595126,-36000,80.18,73,1,5.21
21,pevek,69.7,170.27,1561595127,43200,33.92,86,0,15.77
22,hermanus,-34.42,19.24,1561595129,7200,52.56,94,0,7.27
23,babu,23.23,104.89,1561595130,28800,67.4,93,77,2.55
24,tuatapere,-46.13,167.69,1561595131,43200,54,78,95,4
25,mataura,-46.19,168.86,1561595132,43200,54,78,8,4
27,cherskiy,68.75,161.3,1561595135,39600,65.96,34,52,11.5
28,sitka,37.17,-99.65,1561595136,-18000,88,48,48,18.01
29,arraial+do+cabo,-22.97,-42.02,1561595137,-10800,73.4,78,0,4.7
30,jamestown,-33.21,138.6,1561594767,34200,58.4,54,0,16.71
31,sechura,-5.56,-80.82,1561595140,-18000,65.6,85,2,14.9
32,bethel,60.79,-161.76,1561595141,-28800,64.85,72,90,23.04
33,saint+george,39.45,22.34,1561595143,10800,78.91,57,40,2.26
34,evans,40.38,-104.69,1561595144,-21600,84.65,25,1,9.17
35,baoqing,46.32,132.2,1561595145,28800,54.44,95,100,7.2
36,port+alfred,-33.59,26.89,1561595147,7200,59,88,83,5.01
37,lodja,-3.52,23.6,1561595148,7200,73.34,75,50,1.43
38,trelew,-43.25,-65.31,1561595149,-10800,47.96,50,32,20.98
39,hobart,-42.88,147.33,1561595029,36000,44.42,81,0,12.75
40,east+london,-33.02,27.91,1561595152,7200,57.5,60,71,10.85
41,hualmay,-11.1,-77.61,1561594938,-18000,62.9,84,7,13.13
